rank,operation,mean_ms,p50_ms,p95_ms,p99_ms,percent
1,00_conv,381.4785892099371,381.4701259998401,381.55988194985184,381.9821142996716,28.39464083042772
2,12_conv,246.2524590599969,246.0795900001358,246.47508920011205,252.03297475994077,18.329338333507913
3,02_conv,146.11484341004143,146.09498549998534,146.19664085021213,146.63243251086897,10.875783375457237
4,21_conv,99.64742778996879,99.63240450042576,99.81903490001969,99.9344244605436,7.417068747245018
5,01_maxpool,90.76025031994504,90.62384149956415,91.15931964993251,92.95991617998881,6.755568418274472
6,04_conv,78.70259403000091,78.69703749975088,78.79728754987809,78.9869631196143,5.858079465306537
7,10_conv,63.01580230995569,62.96440649975921,63.31242720016235,63.399047829625495,4.69046264677184
8,14_conv,63.00076259000889,62.97091400028876,63.16934594992745,63.525976729533795,4.689343193522933
9,06_conv,46.515358080050646,46.512882000115496,46.60820115027491,46.68266184937238,3.462283134991123
10,13_conv,38.482967900035874,38.46303199998147,38.606335650138135,38.685949240043556,2.864407289209755
11,08_conv,36.85785271005443,36.85884049991728,36.94827830017857,37.13507320983808,2.7434448985729354
12,03_maxpool,25.42769125995619,25.412224500087177,25.577742399946146,25.674215119906876,1.8926623430394465
13,05_maxpool,7.47892122995836,7.486172500193788,7.527076600672444,7.536862860497422,0.5566794261338234
14,18_conv,5.403698430009172,5.3987349997441925,5.472049049467387,5.492803590441326,0.40221412266893153
15,22_conv,4.201857249991008,4.185406499800592,4.292595349352268,4.308090220174563,0.3127573363457209
16,07_maxpool,2.453167080102503,2.4409195002590423,2.5282294498992997,2.5981488896195515,0.1825968746523958
17,15_conv,2.4473495999063744,2.4405889998888597,2.4822529500852397,2.525825459788396,0.182163861462719
18,20_route,1.7537651200473192,1.7441704999328067,1.8426095498398354,1.8595718900269276,0.13053820605714456
19,11_maxpool,1.5714142699471267,1.5704995003034128,1.6104804998121836,1.618853809641223,0.11696526372126771
20,09_maxpool,1.0362326100039354,1.0484519998499309,1.0617719998663233,1.15549179973641,0.07713002409591582
21,19_upsample,0.5271241700393148,0.5264565006655175,0.5297165497722744,0.5625247201351162,0.03923549552886352
22,17_route,0.3578610400290927,0.3533845001584268,0.3665715501028899,0.4594282998459676,0.026636713006289767
